{85}{265}Nous sommes deux filles inter-spatiales
{265}{344}Des détectives intersidérales
{344}{430}On nous appelle Dan et Danny
{430}{530}Les anges de la galaxie
{530}{610}Vient un danger, une menace
{610}{699}Nous surgissons des quatre coins de l'espace
{699}{738}Dan et Danny
{738}{779}Dan et Danny
{779}{873}Vous tous dans l'Univers, attention nous voici
{873}{914}Dan et Danny
{914}{956}Dan et Danny
{956}{1050}Laissez passer les anges de la galaxie
{1050}{1092}Dan et Danny
{1092}{1138}Dan et Danny
{1138}{1224}Vous tous dans l'Univers, attention nous voici
{1224}{1272}Dan et Danny
{1272}{1315}Dan et Danny
{1315}{1419}Laissez passer les anges de la galaxie
{1419}{1524}Dan et Danny !
{185}{189}|ÿ                                      
{189}{192}|     ÿ                                 
{196}{200}|            ÿ                          
{200}{214}|                 ÿ                     
{219}{224}|                        ÿ              
{224}{227}|                          ÿ            
{233}{238}|                              ÿ        
{238}{250}|                                 ÿ     
{250}{264}|                                    ÿ  
{271}{276}|ÿ                            
{276}{278}|    ÿ                        
{283}{288}|      ÿ                      
{288}{299}|         ÿ                   
{305}{310}|               ÿ             
{310}{312}|                 ÿ           
{317}{322}|                    ÿ        
{322}{323}|                      ÿ      
{327}{340}|                        ÿ    
{340}{343}|                          ÿ  
{352}{356}|ÿ                           
{356}{360}|   ÿ                        
{366}{371}|        ÿ                   
{371}{387}|          ÿ                 
{394}{399}|                ÿ           
{399}{405}|                    ÿ       
{410}{412}|                       ÿ    
{416}{429}|                          ÿ 
{439}{444}|ÿ                      
{444}{447}|    ÿ                  
{455}{461}|      ÿ                
{466}{473}|          ÿ            
{477}{485}|             ÿ         
{489}{493}|                ÿ      
{493}{496}|                  ÿ    
{505}{515}|                    ÿ  
{539}{543}|ÿ                          
{543}{546}|      ÿ                    
{551}{552}|         ÿ                 
{556}{566}|            ÿ              
{572}{577}|                 ÿ         
{577}{581}|                  ÿ        
{587}{592}|                     ÿ     
{592}{600}|                       ÿ   
{604}{609}|                         ÿ 
{616}{620}|ÿ                                           
{620}{623}|     ÿ                                      
{627}{633}|        ÿ                                   
{633}{636}|           ÿ                                
{643}{645}|                ÿ                           
{650}{654}|                    ÿ                       
{654}{657}|                       ÿ                    
{661}{665}|                           ÿ                
{665}{671}|                                 ÿ          
{671}{674}|                                    ÿ       
{682}{688}|                                        ÿ   
{692}{698}|                                          ÿ 
{703}{705}|ÿ           
{709}{711}|    ÿ       
{719}{725}|       ÿ    
{725}{737}|          ÿ 
{750}{754}|ÿ           
{754}{758}|    ÿ       
{766}{771}|       ÿ    
{771}{778}|          ÿ 
{794}{794}|ÿ                                             
{798}{801}|     ÿ                                        
{805}{809}|          ÿ                                   
{809}{816}|               ÿ                              
{816}{820}|                  ÿ                           
{820}{826}|                    ÿ                         
{826}{831}|                          ÿ                   
{831}{837}|                            ÿ                 
{837}{842}|                               ÿ              
{842}{847}|                                    ÿ         
{847}{850}|                                         ÿ    
{859}{872}|                                            ÿ 
{882}{886}|ÿ           
{886}{890}|    ÿ       
{897}{903}|       ÿ    
{903}{913}|          ÿ 
{928}{932}|ÿ           
{932}{939}|    ÿ       
{943}{948}|       ÿ    
{948}{955}|          ÿ 
{971}{975}|ÿ                                     
{975}{978}|    ÿ                                 
{982}{988}|        ÿ                             
{988}{992}|           ÿ                          
{996}{1000}|               ÿ                      
{1000}{1003}|                   ÿ                  
{1007}{1011}|                     ÿ                
{1011}{1017}|                         ÿ            
{1017}{1022}|                            ÿ         
{1022}{1027}|                               ÿ      
{1027}{1034}|                                 ÿ    
{1040}{1049}|                                   ÿ  
{1059}{1064}|ÿ           
{1064}{1067}|    ÿ       
{1076}{1081}|       ÿ    
{1081}{1091}|          ÿ 
{1106}{1110}|ÿ           
{1110}{1115}|    ÿ       
{1121}{1126}|       ÿ    
{1126}{1137}|          ÿ 
{1148}{1152}|ÿ                                             
{1152}{1155}|     ÿ                                        
{1160}{1166}|          ÿ                                   
{1166}{1168}|               ÿ                              
{1172}{1177}|                  ÿ                           
{1177}{1182}|                    ÿ                         
{1182}{1187}|                          ÿ                   
{1187}{1193}|                            ÿ                 
{1193}{1195}|                               ÿ              
{1199}{1203}|                                    ÿ         
{1203}{1211}|                                         ÿ    
{1215}{1223}|                                            ÿ 
{1236}{1241}|ÿ           
{1241}{1243}|    ÿ       
{1252}{1257}|       ÿ    
{1257}{1271}|          ÿ 
{1282}{1286}|ÿ           
{1286}{1289}|    ÿ       
{1298}{1304}|       ÿ    
{1304}{1314}|          ÿ 
{1325}{1330}|ÿ                                     
{1330}{1333}|    ÿ                                 
{1338}{1343}|        ÿ                             
{1343}{1345}|           ÿ                          
{1350}{1355}|               ÿ                      
{1355}{1357}|                   ÿ                  
{1362}{1366}|                     ÿ                
{1366}{1368}|                         ÿ            
{1372}{1377}|                            ÿ         
{1377}{1382}|                               ÿ      
{1382}{1393}|                                 ÿ    
{1393}{1404}|                                   ÿ  
{1459}{1464}|ÿ             
{1464}{1470}|    ÿ         
{1474}{1479}|       ÿ      
{1479}{1494}|          ÿ   
