{77}{180}Un bruit au fond de la nuit
{180}{249}Une ombre sur le tapis
{249}{315}Une clef tourne sans bruit,
{315}{380}un coffre s'ouvre en silence
{387}{459}Une main gantée de noir
{459}{527}prend des paquets de dollars
{527}{645}Et les bijoux, les Renoir disent "Au Revoir"
{658}{814}Edgar Edgar, Prince de la cambriole
{814}{953}Edgar Edgar, un gentleman, un Milord
{953}{1030}Reparti dans l'ombre
{1030}{1098}A l'autre bout du monde
{1098}{1202}Transpercer des coeurs et des coffre-forts
{1208}{1368}Edgar Edgar, pourtant n'a qu'une parole
{1368}{1513}Edgar Edgar, sait bien que le seul trésor
{1513}{1584}est dans le coeur des belles
{1584}{1652}Leurs yeux et leurs dentelles
{1652}{1768}valent bien plus qu'une montagne d'or
{147}{150}|ÿ                          
{150}{152}|   ÿ                       
{156}{159}|         ÿ                 
{159}{164}|            ÿ              
{164}{168}|                 ÿ         
{168}{173}|                    ÿ      
{173}{179}|                       ÿ   
{215}{219}|ÿ                     
{219}{224}|    ÿ                 
{224}{227}|      ÿ               
{227}{229}|          ÿ           
{233}{236}|              ÿ       
{236}{241}|                 ÿ    
{241}{248}|                   ÿ  
{285}{288}|ÿ                          
{288}{292}| ÿ                         
{292}{296}|    ÿ                      
{296}{301}|         ÿ                 
{301}{304}|             ÿ             
{304}{309}|                ÿ          
{309}{314}|                     ÿ     
{319}{322}|ÿ                           
{322}{327}|   ÿ                        
{327}{330}|      ÿ                     
{330}{332}|          ÿ                 
{336}{342}|                  ÿ         
{342}{346}|                     ÿ      
{346}{351}|                       ÿ    
{355}{365}|                          ÿ 
{422}{426}|ÿ                      
{426}{428}| ÿ                     
{432}{435}|    ÿ                  
{435}{440}|         ÿ             
{440}{443}|            ÿ          
{443}{448}|                ÿ      
{448}{458}|                   ÿ   
{491}{495}|ÿ                           
{495}{500}|      ÿ                     
{500}{504}|          ÿ                 
{504}{509}|            ÿ               
{509}{513}|                  ÿ         
{513}{517}|                     ÿ      
{517}{526}|                        ÿ   
{560}{564}|ÿ                                           
{564}{567}|   ÿ                                        
{567}{569}|       ÿ                                    
{573}{578}|         ÿ                                  
{578}{581}|               ÿ                            
{581}{586}|                   ÿ                        
{586}{594}|                     ÿ                      
{598}{604}|                          ÿ                 
{608}{616}|                                  ÿ         
{616}{620}|                                     ÿ      
{620}{630}|                                       ÿ    
{693}{701}|ÿ                                  
{705}{719}|  ÿ                                
{726}{736}|      ÿ                            
{740}{753}|        ÿ                          
{766}{770}|             ÿ                     
{770}{776}|                 ÿ                 
{776}{780}|                    ÿ              
{780}{785}|                       ÿ           
{785}{789}|                          ÿ        
{789}{794}|                             ÿ     
{794}{799}|                                ÿ  
{803}{813}|                                 ÿ 
{831}{840}|ÿ                                   
{845}{856}|  ÿ                                 
{864}{879}|      ÿ                             
{879}{892}|        ÿ                           
{905}{909}|             ÿ                      
{909}{914}|                ÿ                   
{914}{919}|                   ÿ                
{919}{924}|                      ÿ             
{924}{929}|                           ÿ        
{929}{936}|                              ÿ     
{936}{952}|                                ÿ   
{978}{981}|ÿ                   
{985}{987}|  ÿ                 
{987}{992}|     ÿ              
{996}{1000}|        ÿ           
{1000}{1015}|             ÿ      
{1015}{1029}|                 ÿ  
{1045}{1049}|ÿ                      
{1049}{1053}|  ÿ                    
{1053}{1057}|      ÿ                
{1057}{1064}|          ÿ            
{1064}{1069}|               ÿ       
{1069}{1084}|                  ÿ    
{1084}{1097}|                     ÿ 
{1116}{1122}|ÿ                                         
{1122}{1125}|    ÿ                                     
{1125}{1131}|        ÿ                                 
{1131}{1134}|            ÿ                             
{1134}{1138}|                ÿ                         
{1142}{1151}|                       ÿ                  
{1151}{1159}|                          ÿ               
{1159}{1165}|                              ÿ           
{1169}{1173}|                                 ÿ        
{1173}{1187}|                                     ÿ    
{1243}{1257}|ÿ                                      
{1257}{1271}|  ÿ                                    
{1278}{1292}|      ÿ                                
{1292}{1304}|        ÿ                              
{1320}{1323}|             ÿ                         
{1323}{1329}|                 ÿ                     
{1329}{1332}|                      ÿ                
{1332}{1337}|                          ÿ            
{1337}{1341}|                              ÿ        
{1341}{1346}|                                 ÿ     
{1346}{1356}|                                   ÿ   
{1356}{1367}|                                     ÿ 
{1382}{1396}|ÿ                                        
{1396}{1411}|  ÿ                                      
{1417}{1431}|      ÿ                                  
{1431}{1444}|        ÿ                                
{1458}{1462}|             ÿ                           
{1462}{1466}|                  ÿ                      
{1466}{1471}|                       ÿ                 
{1471}{1476}|                           ÿ             
{1476}{1482}|                              ÿ          
{1482}{1490}|                                   ÿ     
{1490}{1512}|                                      ÿ  
{1529}{1532}|ÿ                           
{1532}{1537}|    ÿ                       
{1537}{1540}|         ÿ                  
{1540}{1549}|            ÿ               
{1549}{1554}|                  ÿ         
{1554}{1568}|                      ÿ     
{1568}{1583}|                         ÿ  
{1596}{1599}|ÿ                            
{1599}{1605}|      ÿ                      
{1605}{1609}|           ÿ                 
{1609}{1617}|              ÿ              
{1617}{1622}|                    ÿ        
{1622}{1637}|                       ÿ     
{1637}{1651}|                          ÿ  
{1667}{1675}|ÿ                                    
{1675}{1678}|  ÿ                                  
{1678}{1682}|       ÿ                             
{1682}{1692}|            ÿ                        
{1692}{1695}|                 ÿ                   
{1695}{1703}|                     ÿ               
{1703}{1711}|                        ÿ            
{1711}{1721}|                           ÿ         
{1721}{1725}|                             ÿ       
{1725}{1738}|                                 ÿ   
