{497}{646}sore wa ai ja nai
{646}{773}ai wa sore ja nai
{773}{1010}ai shite iru kedo ai sarete wa inai
{1010}{1134}kesshite ai ja nai
{1134}{1248}ketsu wa ai ja nai
{1248}{1499}aisaretai keredo motometari wa shinai
{1507}{1633}{c:$0F00DF}kono mi sasagete inochi nagedashi
{1633}{1752}{c:$FFFFCF}wakime mo furazu tada hitasura ni
{1752}{1871}{c:$0F00DF}damashite sukashite yoko-hairi
{1871}{1988}{c:$FFFFCF}tanin wo fumitaoshi keri wo kamashite
{1988}{2026}{c:$FFFFCF}tonzura koite !
{2026}{2056}{c:$0F00DF}tonzura koite !
{2056}{2085}{c:$FFFFCF}tonzura koite !
{2085}{2115}{c:$0F00DF}tonzura koite !
{2115}{2146}{c:$FFFFCF}tonzura koite !
{2146}{2175}{s:35}{c:$0F00DF}tonzura koite !
{2175}{2222}{s:60}{c:$FFFFCF}tonzura koite !
{2222}{2358}BANANA no kawa de koronde mo
{2358}{2472}sore wa subete ano kata no tame
{2472}{2590}shiite iu nara sore wa kitto
{2590}{2856}ai to iu na no chuseishin
{3118}{3271}itsu mo ai ja nai
{3271}{3400}ai wa itsu mo ja nai
{3400}{3622}ai sare-sugicha kono mi ga mochimashen
{3652}{3781}{c:$FFFFCF}ima ga CHANCE da okaidoku
{3781}{3897}{c:$0F00DF}guramu ikura de kono mi mo douzo
{3897}{4018}{c:$FFFFCF}guumin wo aite ni hito-soudou
{4018}{4136}{c:$0F00DF}shinbun busata ni naru mae ni
{4136}{4172}{c:$FFFFCF}tonzura koite !
{4172}{4200}{c:$FF0042}tonzura koite !
{4200}{4231}{c:$FFFFCF}tonzura koite !
{4231}{4257}{c:$FF0042}tonzura koite !
{4257}{4290}{c:$FFFFCF}tonzura koite !
{4290}{4320}{s:50}{c:$FF0042}tonzura koite !
{4320}{4354}{s:75}{c:$FFFFCF}tonzura koite !
{4354}{4503}hito no michi sura hazurete mo
{4503}{4617}sore wa tabun ano kata no tame
{4617}{4732}migaeri nado motomeyashinai
{4732}{4965}ai yori fukai chuuseishin
{5439}{5629}ochite yuku no mo oboreru no mo
{5629}{5750}nani mo kamo ga ano kata no tame
{5750}{5868}baka demo aho demo kamawanai
{5868}{6137}ai to iu na no chuuseishin
{567}{573}|ÿ                
{573}{581}|  ÿ              
{581}{589}|     ÿ           
{589}{592}|        ÿ        
{592}{596}|         ÿ       
{596}{600}|           ÿ     
{600}{638}|              ÿ  
{636}{645}|                ÿ
{686}{692}|ÿ                
{692}{699}| ÿ               
{699}{703}|   ÿ             
{708}{712}|      ÿ          
{712}{715}|        ÿ        
{715}{717}|           ÿ     
{721}{766}|              ÿ  
{766}{770}|                ÿ
{805}{810}|ÿ                                  
{810}{818}| ÿ                                 
{818}{822}|   ÿ                               
{826}{833}|      ÿ                            
{840}{849}|         ÿ                         
{855}{863}|          ÿ                        
{871}{880}|             ÿ                     
{885}{894}|               ÿ                   
{900}{909}|                  ÿ                
{915}{924}|                   ÿ               
{930}{939}|                     ÿ             
{945}{951}|                       ÿ           
{955}{958}|                         ÿ         
{958}{969}|                            ÿ      
{990}{997}|                               ÿ   
{997}{1001}|                                ÿ  
{1001}{1009}|                                  ÿ
{1044}{1050}|ÿ                 
{1050}{1057}|   ÿ              
{1057}{1065}|      ÿ           
{1065}{1068}|         ÿ        
{1068}{1073}|          ÿ       
{1073}{1078}|            ÿ     
{1078}{1126}|               ÿ  
{1126}{1130}|                 ÿ
{1162}{1168}|ÿ                 
{1168}{1174}|  ÿ               
{1174}{1179}|      ÿ           
{1183}{1186}|         ÿ        
{1186}{1190}|          ÿ       
{1190}{1194}|            ÿ     
{1194}{1242}|               ÿ  
{1242}{1245}|                 ÿ
{1280}{1286}|ÿ                                    
{1286}{1294}| ÿ                                   
{1294}{1297}|  ÿ                                  
{1301}{1311}|    ÿ                                
{1316}{1325}|      ÿ                              
{1330}{1340}|        ÿ                            
{1346}{1355}|          ÿ                          
{1361}{1370}|            ÿ                        
{1375}{1384}|              ÿ                      
{1391}{1399}|                 ÿ                   
{1405}{1415}|                   ÿ                 
{1423}{1429}|                     ÿ               
{1429}{1434}|                       ÿ             
{1434}{1440}|                         ÿ           
{1458}{1465}|                            ÿ        
{1465}{1473}|                               ÿ     
{1473}{1477}|                                  ÿ  
{1477}{1484}|                                    ÿ
{1542}{1550}|ÿ                                
{1550}{1557}|  ÿ                              
{1557}{1563}|     ÿ                           
{1563}{1570}|        ÿ                        
{1570}{1574}|          ÿ                      
{1578}{1582}|            ÿ                    
{1582}{1587}|              ÿ                  
{1593}{1597}|                 ÿ               
{1597}{1600}|                  ÿ              
{1600}{1607}|                    ÿ            
{1607}{1610}|                        ÿ        
{1614}{1622}|                          ÿ      
{1622}{1626}|                            ÿ    
{1626}{1632}|                              ÿ  
{1651}{1661}|{c:$00FFFFFF:$FFFFFFFF}ÿ                                
{1661}{1667}|ÿ                                
{1667}{1674}|  ÿ                              
{1674}{1677}|    ÿ                            
{1681}{1684}|       ÿ                         
{1688}{1691}|          ÿ                      
{1695}{1699}|            ÿ                    
{1699}{1704}|              ÿ                  
{1712}{1716}|                 ÿ               
{1716}{1719}|                   ÿ             
{1719}{1725}|                      ÿ          
{1725}{1732}|                        ÿ        
{1732}{1736}|                          ÿ      
{1740}{1744}|                            ÿ    
{1744}{1750}|                               ÿ 
{1780}{1786}|ÿ                             
{1786}{1790}|  ÿ                           
{1794}{1797}|    ÿ                         
{1801}{1805}|       ÿ                      
{1811}{1814}|          ÿ                   
{1814}{1817}|            ÿ                 
{1817}{1822}|              ÿ               
{1822}{1827}|                 ÿ            
{1836}{1845}|                    ÿ         
{1845}{1849}|                      ÿ       
{1853}{1860}|                         ÿ    
{1860}{1863}|                           ÿ  
{1863}{1870}|                            ÿ 
{1898}{1904}|ÿ                                    
{1904}{1912}|  ÿ                                  
{1912}{1920}|    ÿ                                
{1920}{1924}|      ÿ                              
{1928}{1933}|         ÿ                           
{1933}{1940}|           ÿ                         
{1940}{1944}|             ÿ                       
{1944}{1952}|               ÿ                     
{1952}{1958}|                ÿ                    
{1958}{1963}|                    ÿ                
{1963}{1967}|                      ÿ              
{1967}{1970}|                         ÿ           
{1970}{1972}|                            ÿ        
{1972}{1979}|                              ÿ      
{1979}{1983}|                                ÿ    
{1983}{1987}|                                   ÿ 
{1996}{2002}|ÿ              
{2002}{2006}|   ÿ           
{2006}{2010}|     ÿ         
{2010}{2014}|        ÿ      
{2014}{2018}|          ÿ    
{2018}{2026}|           ÿ   
{2026}{2033}|ÿ              
{2033}{2036}|   ÿ           
{2036}{2040}|     ÿ         
{2040}{2044}|        ÿ      
{2044}{2048}|          ÿ    
{2048}{2056}|           ÿ   
{2056}{2062}|ÿ              
{2062}{2066}|   ÿ           
{2066}{2070}|     ÿ         
{2070}{2074}|        ÿ      
{2074}{2078}|          ÿ    
{2078}{2085}|           ÿ   
{2085}{2092}|ÿ              
{2092}{2096}|   ÿ           
{2096}{2100}|     ÿ         
{2100}{2104}|        ÿ      
{2104}{2107}|          ÿ    
{2107}{2115}|           ÿ   
{2115}{2122}|ÿ              
{2122}{2126}|   ÿ           
{2126}{2130}|     ÿ         
{2130}{2134}|        ÿ      
{2134}{2137}|          ÿ    
{2137}{2146}|           ÿ   
{2146}{2152}|{s:35}ÿ              
{2152}{2156}|{s:35}   ÿ           
{2156}{2159}|{s:35}     ÿ         
{2159}{2163}|{s:35}        ÿ      
{2163}{2166}|{s:35}          ÿ    
{2166}{2175}|{s:35}           ÿ   
{2175}{2182}||{s:60}ÿ              
{2182}{2186}||{s:60}   ÿ           
{2186}{2191}||{s:60}     ÿ         
{2191}{2194}||{s:60}        ÿ      
{2194}{2199}||{s:60}          ÿ    
{2199}{2221}||{s:60}           ÿ   
{2235}{2241}|ÿ                           
{2241}{2245}|  ÿ                         
{2249}{2253}|    ÿ                       
{2257}{2264}|       ÿ                    
{2271}{2280}|          ÿ                 
{2284}{2295}|            ÿ               
{2300}{2309}|               ÿ            
{2316}{2321}|                  ÿ         
{2321}{2326}|                    ÿ       
{2326}{2336}|                      ÿ     
{2336}{2344}|                       ÿ    
{2344}{2357}|                          ÿ 
{2381}{2388}|ÿ                              
{2388}{2396}|  ÿ                            
{2396}{2401}|     ÿ                         
{2405}{2410}|        ÿ                      
{2410}{2417}|          ÿ                    
{2417}{2423}|            ÿ                  
{2428}{2432}|               ÿ               
{2432}{2436}|                ÿ              
{2436}{2440}|                   ÿ           
{2440}{2447}|                     ÿ         
{2447}{2452}|                        ÿ      
{2457}{2464}|                           ÿ   
{2464}{2471}|                             ÿ 
{2480}{2486}|ÿ                           
{2486}{2494}|   ÿ                        
{2494}{2503}|    ÿ                       
{2509}{2518}|       ÿ                    
{2523}{2533}|          ÿ                 
{2539}{2547}|            ÿ               
{2554}{2558}|               ÿ            
{2558}{2562}|                 ÿ          
{2562}{2567}|                    ÿ       
{2567}{2573}|                       ÿ    
{2573}{2582}|                         ÿ  
{2582}{2589}|                          ÿ 
{2613}{2623}|ÿ                        
{2623}{2632}| ÿ                       
{2637}{2642}|   ÿ                     
{2642}{2660}|      ÿ                  
{2665}{2673}|         ÿ               
{2673}{2699}|            ÿ            
{2712}{2718}|               ÿ         
{2718}{2723}|                  ÿ      
{2723}{2729}|                    ÿ    
{2734}{2826}|                     ÿ   
{3188}{3194}|ÿ                
{3194}{3201}| ÿ               
{3201}{3205}|     ÿ           
{3209}{3212}|        ÿ        
{3212}{3216}|         ÿ       
{3216}{3220}|           ÿ     
{3220}{3266}|              ÿ  
{3266}{3270}|                ÿ
{3306}{3312}|ÿ                   
{3312}{3315}| ÿ                  
{3319}{3322}|   ÿ                
{3330}{3334}|      ÿ             
{3334}{3340}|       ÿ            
{3340}{3346}|           ÿ        
{3346}{3352}|              ÿ     
{3352}{3394}|                 ÿ  
{3394}{3397}|                   ÿ
{3425}{3431}|ÿ                                     
{3431}{3434}| ÿ                                    
{3439}{3441}|   ÿ                                  
{3446}{3456}|     ÿ                                
{3462}{3471}|        ÿ                             
{3476}{3486}|          ÿ                           
{3491}{3500}|            ÿ                         
{3506}{3514}|                ÿ                     
{3519}{3527}|                  ÿ                   
{3534}{3542}|                     ÿ                
{3550}{3559}|                        ÿ             
{3566}{3572}|                           ÿ          
{3572}{3577}|                             ÿ        
{3577}{3580}|                                ÿ     
{3580}{3607}|                                  ÿ   
{3687}{3693}|ÿ                        
{3693}{3701}| ÿ                       
{3701}{3708}|    ÿ                    
