{0}{111}Fly
{111}{193}Le plus grand des héros c'est Fly
{193}{284}Quoi qu'il fasse, partout où qu'il aille
{284}{372}C'est lui qui aura la médaille
{372}{470}Du plus grand combattant venu du fond des temps
{470}{507}Fly
{507}{595}Le plus grand des héros c'est Fly
{595}{685}Avec ses cheveux en bataille
{685}{776}Son courage n'a pas de failles
{776}{882}Rien ne peut l'empêcher d'être toujours premier
{882}{971}Un îlot perdu quelque part dans l'océan
{971}{1043}Loin de tout et loin du temps
{1043}{1148}Un pays magique dans un monde fantastique
{1148}{1242}Menacé par les méchants
{1242}{1270}Fly
{1270}{1356}Le plus grand des héros c'est Fly
{1356}{1445}Avec ses cheveux en bataille
{1445}{1534}Son courage n'a pas de failles
{1534}{1662}Rien ne peut l'empêcher d'être toujours premier
{83}{96}|ÿ  
{118}{122}|ÿ                                
{122}{127}|   ÿ                             
{127}{132}|        ÿ                        
{132}{137}|              ÿ                  
{137}{142}|                  ÿ              
{142}{155}|                    ÿ            
{161}{166}|                        ÿ        
{166}{178}|                              ÿ  
{206}{211}|ÿ                                       
{211}{216}|     ÿ                                  
{216}{221}|           ÿ                            
{221}{226}|                  ÿ                     
{226}{231}|                     ÿ                  
{231}{242}|                          ÿ             
{250}{256}|                             ÿ          
{256}{269}|                                   ÿ    
{295}{301}|ÿ                             
{301}{306}|      ÿ                       
{306}{311}|          ÿ                   
{311}{318}|              ÿ               
{318}{322}|                ÿ             
{322}{331}|                   ÿ          
{339}{343}|                      ÿ       
{343}{357}|                        ÿ     
{385}{389}|ÿ                                              
{389}{394}|   ÿ                                           
{394}{400}|        ÿ                                      
{400}{405}|              ÿ                                
{405}{410}|                 ÿ                             
{410}{420}|                    ÿ                          
{427}{433}|                         ÿ                     
{433}{439}|                           ÿ                   
{439}{446}|                              ÿ                
{446}{451}|                                 ÿ             
{451}{456}|                                      ÿ        
{456}{469}|                                          ÿ    
{484}{506}|ÿ  
{519}{523}|ÿ                                
{523}{528}|   ÿ                             
{528}{534}|        ÿ                        
{534}{539}|              ÿ                  
{539}{545}|                  ÿ              
{545}{556}|                    ÿ            
{563}{567}|                        ÿ        
{567}{580}|                              ÿ  
{608}{614}|ÿ                           
{614}{619}| ÿ                          
{619}{625}|     ÿ                      
{625}{630}|         ÿ                  
{630}{635}|            ÿ               
{635}{644}|                 ÿ          
{651}{657}|                    ÿ       
{657}{670}|                      ÿ     
{697}{702}|ÿ                             
{702}{707}|    ÿ                         
{707}{710}|       ÿ                      
{714}{716}|         ÿ                    
{720}{725}|            ÿ                 
{725}{734}|                ÿ             
{741}{747}|                    ÿ         
{747}{761}|                       ÿ      
{787}{792}|ÿ                                              
{792}{797}|     ÿ                                         
{797}{802}|        ÿ                                      
{802}{806}|             ÿ                                 
{806}{812}|                 ÿ                             
{812}{821}|                   ÿ                           
{830}{835}|                        ÿ                      
{835}{841}|                           ÿ                   
{841}{847}|                               ÿ               
{847}{852}|                                  ÿ            
{852}{857}|                                        ÿ      
{857}{867}|                                           ÿ   
{888}{892}|ÿ                                      
{892}{897}|   ÿ                                   
{897}{900}|    ÿ                                  
{904}{909}|        ÿ                              
{909}{914}|           ÿ                           
{920}{925}|              ÿ                        
{925}{932}|                  ÿ                    
{936}{944}|                      ÿ                
{949}{955}|                           ÿ           
{955}{959}|                                ÿ      
{959}{963}|                                   ÿ   
{963}{970}|                                     ÿ 
{976}{981}|ÿ                            
{981}{987}|     ÿ                       
{987}{993}|        ÿ                    
{993}{998}|             ÿ               
{998}{1005}|                ÿ            
{1010}{1014}|                     ÿ       
{1014}{1028}|                        ÿ    
{1066}{1070}|ÿ                                        
{1070}{1075}|   ÿ                                     
{1075}{1081}|     ÿ                                   
{1081}{1086}|        ÿ                                
{1086}{1091}|          ÿ                              
{1096}{1099}|                ÿ                        
{1104}{1108}|                     ÿ                   
{1114}{1119}|                        ÿ                
{1127}{1133}|                           ÿ             
{1133}{1138}|                              ÿ          
{1138}{1141}|                                 ÿ       
{1141}{1147}|                                    ÿ    
{1154}{1158}|ÿ                      
{1166}{1169}|  ÿ                    
{1176}{1182}|    ÿ                  
{1188}{1194}|       ÿ               
{1199}{1205}|           ÿ           
{1210}{1216}|               ÿ       
{1216}{1227}|                 ÿ     
{1244}{1255}|ÿ  
{1277}{1283}|ÿ                                
{1283}{1288}|   ÿ                             
{1288}{1294}|        ÿ                        
{1294}{1299}|              ÿ                  
{1299}{1305}|                  ÿ              
{1305}{1317}|                    ÿ            
{1322}{1327}|                        ÿ        
{1327}{1341}|                              ÿ  
{1367}{1372}|ÿ                           
{1372}{1378}| ÿ                          
{1378}{1384}|     ÿ                      
{1384}{1389}|         ÿ                  
{1389}{1394}|            ÿ               
{1394}{1404}|                 ÿ          
{1411}{1417}|                    ÿ       
{1417}{1430}|                      ÿ     
{1455}{1459}|ÿ                             
{1463}{1468}|    ÿ                         
{1468}{1473}|       ÿ                      
{1473}{1479}|         ÿ                    
{1479}{1484}|            ÿ                 
{1484}{1493}|                ÿ             
{1501}{1506}|                    ÿ         
{1506}{1519}|                       ÿ      
{1546}{1551}|ÿ                                              
{1551}{1557}|     ÿ                                         
{1557}{1563}|        ÿ                                      
{1563}{1567}|             ÿ                                 
{1567}{1572}|                 ÿ                             
{1572}{1583}|                   ÿ                           
{1589}{1595}|                        ÿ                      
{1595}{1600}|                            ÿ                  
{1600}{1606}|                               ÿ               
{1606}{1611}|                                  ÿ            
{1611}{1615}|                                        ÿ      
{1615}{1632}|                                           ÿ   
