{137}{253}Jim Hawkins n'avait pas treize ans
{253}{296}{c:$00FFFF}Non pas treize ans
{296}{358}Quand il partit sur l'océan
{358}{397}{c:$00FFFF}Sur l'océan
{397}{462}Il était haut comme trois pommes
{462}{546}Mais plus valeureux que trois hommes
{596}{712}Mon petit gars prends garde à toi
{712}{818}Sois courageux, tu connaîtras
{818}{926}Mille tempêtes, mille naufrages
{926}{1041}Avant d'atteindre ton rivage
{1216}{1298}Il savait qu'à l'autre bout de la Terre
{1298}{1340}{c:$00FFFF}L'autre bout de la Terre
{1340}{1401}L'attendait le plus grand des mystères
{1401}{1444}{c:$00FFFF}Grand des mystères
{1444}{1506}Et il se croyait assez fort
{1506}{1593}Pour découvrir l'Ile au Trésor
{1640}{1760}Mon petit gars prends garde à toi
{1760}{1865}Sois courageux, tu connaîtras
{1865}{1966}Mille tempêtes, mille naufrages
{1966}{2073}Avant d'atteindre ton rivage
{2073}{2204}Mon petit gars prends garde à toi...
{207}{213}|ÿ                                 
{213}{215}|    ÿ                             
{220}{221}|       ÿ                          
{226}{228}|            ÿ                     
{232}{235}|               ÿ                  
{240}{242}|                    ÿ             
{246}{249}|                        ÿ         
{249}{252}|                               ÿ  
{257}{260}|ÿ                 
{266}{273}|    ÿ             
{279}{282}|        ÿ         
{286}{295}|               ÿ  
{312}{318}|ÿ                          
{318}{321}|      ÿ                    
{325}{328}|         ÿ                 
{332}{334}|            ÿ              
{339}{341}|                ÿ          
{345}{351}|                    ÿ      
{351}{355}|                       ÿ   
{355}{357}|                         ÿ 
{363}{365}|ÿ          
{371}{375}|    ÿ      
{383}{389}|       ÿ   
{389}{396}|         ÿ 
{415}{418}|ÿ                               
{422}{426}|   ÿ                            
{426}{430}|    ÿ                           
{430}{435}|         ÿ                      
{440}{442}|              ÿ                 
{447}{451}|                 ÿ              
{451}{456}|                    ÿ           
{456}{461}|                          ÿ     
{466}{468}|ÿ                                   
{473}{476}|     ÿ                              
{481}{482}|          ÿ                         
{488}{489}|            ÿ                       
{493}{495}|               ÿ                    
{499}{506}|                    ÿ               
{512}{513}|                        ÿ           
{518}{531}|                              ÿ     
{631}{637}|ÿ                                
{637}{640}|    ÿ                            
{644}{646}|      ÿ                          
{651}{661}|          ÿ                      
{683}{685}|               ÿ                 
{689}{691}|                      ÿ          
{696}{698}|                            ÿ    
{702}{711}|                              ÿ  
{736}{738}|ÿ                            
{742}{743}|     ÿ                       
{748}{751}|        ÿ                    
{755}{763}|          ÿ                  
{787}{793}|                ÿ            
{793}{795}|                   ÿ         
{799}{802}|                      ÿ      
{806}{817}|                         ÿ   
{840}{846}|ÿ                              
{846}{849}|   ÿ                           
{853}{854}|      ÿ                        
{858}{870}|         ÿ                     
{891}{895}|                ÿ              
{899}{901}|                   ÿ           
{905}{906}|                      ÿ        
{911}{925}|                         ÿ     
{945}{951}|ÿ                           
{951}{953}| ÿ                          
{957}{963}|      ÿ                     
{963}{972}|          ÿ                 
{981}{988}|              ÿ             
{996}{1001}|                  ÿ         
{1008}{1011}|                      ÿ     
{1015}{1026}|                        ÿ   
{1251}{1253}|ÿ                                      
{1257}{1259}|   ÿ                                   
{1264}{1267}|     ÿ                                 
{1271}{1273}|          ÿ                            
{1277}{1279}|               ÿ                       
{1283}{1288}|                       ÿ               
{1288}{1293}|                            ÿ          
{1293}{1297}|                                  ÿ    
{1301}{1305}|ÿ                       
{1309}{1316}|        ÿ               
{1322}{1325}|             ÿ          
{1329}{1339}|                   ÿ    
{1354}{1357}|ÿ                                     
{1362}{1364}|    ÿ                                 
{1368}{1370}|       ÿ                              
{1375}{1377}|            ÿ                         
{1381}{1383}|                    ÿ                 
{1387}{1392}|                          ÿ           
{1392}{1397}|                              ÿ       
{1397}{1400}|                                 ÿ    
{1405}{1408}|ÿ                 
{1413}{1420}|      ÿ           
{1426}{1429}|          ÿ       
{1433}{1443}|             ÿ    
{1459}{1462}|ÿ                          
{1466}{1471}|   ÿ                       
{1471}{1472}|      ÿ                    
{1476}{1481}|         ÿ                 
{1485}{1487}|            ÿ              
{1492}{1496}|                 ÿ         
{1496}{1500}|                   ÿ       
{1500}{1505}|                       ÿ   
{1510}{1513}|ÿ                             
{1517}{1520}|     ÿ                        
{1524}{1526}|       ÿ                      
{1531}{1533}|          ÿ                   
{1537}{1539}|               ÿ              
{1543}{1551}|                     ÿ        
{1556}{1558}|                        ÿ     
{1563}{1578}|                           ÿ  
{1675}{1681}|ÿ                                
{1681}{1684}|    ÿ                            
{1688}{1690}|      ÿ                          
{1694}{1707}|          ÿ                      
{1727}{1729}|               ÿ                 
{1733}{1739}|                      ÿ          
{1739}{1742}|                            ÿ    
{1746}{1759}|                              ÿ  
{1779}{1782}|ÿ                            
{1786}{1788}|     ÿ                       
{1792}{1795}|        ÿ                    
{1799}{1812}|          ÿ                  
{1830}{1836}|                ÿ            
{1836}{1839}|                   ÿ         
{1843}{1849}|                      ÿ      
{1849}{1864}|                         ÿ   
{1884}{1889}|ÿ                              
{1889}{1896}|   ÿ                           
{1896}{1899}|      ÿ                        
{1903}{1915}|         ÿ                     
{1936}{1937}|                ÿ              
{1942}{1944}|                   ÿ           
{1949}{1951}|                      ÿ        
{1955}{1965}|                          ÿ    
{1987}{1990}|ÿ                           
{1994}{1996}| ÿ                          
{2001}{2002}|      ÿ                     
{2006}{2017}|          ÿ                 
{2024}{2033}|              ÿ             
{2039}{2045}|                  ÿ         
{2052}{2059}|                      ÿ     
{2059}{2072}|                        ÿ   
{2092}{2098}|ÿ                                   
{2098}{2101}|    ÿ                               
{2105}{2111}|      ÿ                             
{2111}{2124}|          ÿ                         
{2143}{2146}|               ÿ                    
{2151}{2153}|                      ÿ             
{2157}{2159}|                            ÿ       
{2163}{2174}|                              ÿ     
