{0}{43}Faut pas exagérer
{43}{83}On est tout de même pas fait
{83}{124}Pour travailler comme des damnés
{124}{155}Il faudrait inventer
{155}{209}Un collège fou fou fou fou
{209}{245}Où tout le monde est fou
{245}{294}Un collège fou fou fou fou
{294}{327}Et rien que pour nous
{327}{381}Un collège fou fou fou fou
{381}{412}Où on ne fait rien du tout
{412}{465}Un collège fou fou fou fou
{465}{502}C'est ça qui serait doux
{502}{552}Un collège fou fou fou fou
{552}{588}Où tout le monde est fou
{588}{636}Un collège fou fou fou fou
{636}{667}Et rien que pour nous
{667}{724}Un collège fou fou fou fou
{724}{753}Où on ne fait rien du tout
{753}{810}Un collège fou fou fou fou
{810}{842}C'est ça qui serait doux
{842}{891}Un collège fou fou fou fou
{891}{927}Où tout le monde est fou
{927}{979}Un collège fou fou fou fou
{979}{1015}Et rien que pour nous
{1015}{1062}Un collège fou fou fou fou
{1062}{1095}Où on ne fait rien du tout
{1095}{1148}Un collège fou fou fou fou
{1148}{1186}C'est ça qui serait doux
{1186}{1279}Un collège fou fou fou fou
{2}{6}|ÿ                
{6}{11}|     ÿ           
{11}{16}|         ÿ       
{16}{22}|          ÿ      
{22}{26}|            ÿ    
{26}{43}|              ÿ  
{43}{44}|ÿ                           
{48}{52}|   ÿ                        
{52}{57}|       ÿ                    
{57}{61}|            ÿ               
{61}{67}|                    ÿ       
{67}{83}|                        ÿ   
{83}{88}|ÿ                               
{88}{93}|     ÿ                          
{93}{98}|        ÿ                       
{98}{104}|          ÿ                     
{104}{109}|                ÿ               
{109}{114}|                      ÿ         
{114}{119}|                          ÿ     
{119}{124}|                             ÿ  
{124}{129}|ÿ                   
{129}{135}|   ÿ                
{135}{140}|      ÿ             
{140}{145}|            ÿ       
{145}{150}|              ÿ     
{150}{155}|                 ÿ  
{155}{158}|ÿ                         
{162}{168}|   ÿ                      
{168}{174}|      ÿ                   
{174}{178}|           ÿ              
{178}{183}|               ÿ          
{189}{199}|                   ÿ      
{199}{208}|                       ÿ  
{212}{218}|ÿ                       
{218}{219}|   ÿ                    
{223}{228}|        ÿ               
{228}{230}|           ÿ            
{234}{238}|                 ÿ      
{238}{245}|                     ÿ  
{245}{250}|ÿ                         
{250}{255}|   ÿ                      
{255}{260}|      ÿ                   
{260}{265}|           ÿ              
{265}{275}|               ÿ          
{275}{285}|                   ÿ      
{285}{293}|                       ÿ  
{297}{302}|ÿ                    
{302}{307}|   ÿ                 
{307}{313}|        ÿ            
{313}{318}|            ÿ        
{318}{326}|                 ÿ   
{330}{336}|ÿ                         
{336}{340}|   ÿ                      
{340}{346}|      ÿ                   
{346}{351}|           ÿ              
{351}{356}|               ÿ          
{360}{367}|                   ÿ      
{371}{380}|                       ÿ  
{384}{389}|ÿ                         
{389}{394}|   ÿ                      
{394}{399}|         ÿ                
{399}{404}|              ÿ           
{404}{409}|                   ÿ      
{409}{411}|                      ÿ   
{415}{421}|ÿ                         
{421}{423}|   ÿ                      
{427}{431}|      ÿ                   
{431}{436}|           ÿ              
{436}{446}|               ÿ          
{446}{453}|                   ÿ      
{457}{464}|                       ÿ  
{468}{474}|ÿ                       
{474}{479}|      ÿ                 
{479}{483}|         ÿ              
{483}{489}|             ÿ          
{493}{502}|                    ÿ   
{502}{506}|ÿ                         
{506}{512}|   ÿ                      
{512}{517}|      ÿ                   
{517}{521}|           ÿ              
{521}{528}|               ÿ          
{532}{542}|                   ÿ      
{542}{551}|                       ÿ  
{555}{560}|ÿ                       
{560}{565}|   ÿ                    
{565}{570}|        ÿ               
{570}{575}|           ÿ            
{575}{580}|                 ÿ      
{580}{588}|                     ÿ  
{588}{594}|ÿ                         
{594}{599}|   ÿ                      
{599}{604}|      ÿ                   
{604}{608}|           ÿ              
{608}{618}|               ÿ          
{618}{626}|                   ÿ      
{626}{635}|                       ÿ  
{639}{645}|ÿ                    
{645}{646}|   ÿ                 
{650}{655}|        ÿ            
{655}{660}|            ÿ        
{660}{666}|                 ÿ   
{671}{676}|ÿ                         
{676}{682}|   ÿ                      
{682}{687}|      ÿ                   
{687}{691}|           ÿ              
{691}{695}|               ÿ          
{701}{707}|                   ÿ      
{711}{724}|                       ÿ  
{724}{729}|ÿ                         
{729}{734}|   ÿ                      
{734}{740}|         ÿ                
{740}{745}|              ÿ           
{745}{750}|                   ÿ      
{750}{752}|                      ÿ   
{757}{762}|ÿ                         
{762}{768}|   ÿ                      
{768}{773}|      ÿ                   
{773}{778}|           ÿ              
{778}{788}|               ÿ          
{788}{797}|                   ÿ      
{797}{810}|                       ÿ  
{810}{815}|ÿ                       
{815}{821}|      ÿ                 
{821}{826}|         ÿ              
{826}{835}|             ÿ          
{835}{842}|                    ÿ   
{842}{844}|ÿ                         
{848}{853}|   ÿ                      
{853}{858}|      ÿ                   
{858}{863}|           ÿ              
{863}{872}|               ÿ          
{872}{882}|                   ÿ      
{882}{890}|                       ÿ  
{895}{900}|ÿ                       
{900}{905}|   ÿ                    
{905}{910}|        ÿ               
{910}{916}|           ÿ            
{916}{921}|                 ÿ      
{921}{927}|                     ÿ  
{927}{933}|ÿ                         
{933}{939}|   ÿ                      
{939}{943}|      ÿ                   
{943}{948}|           ÿ              
{948}{958}|               ÿ          
{958}{970}|                   ÿ      
{970}{978}|                       ÿ  
{982}{987}|ÿ                    
{987}{992}|   ÿ                 
{992}{997}|        ÿ            
{997}{1002}|            ÿ        
{1002}{1015}|                 ÿ   
{1015}{1021}|ÿ                         
{1021}{1026}|   ÿ                      
{1026}{1031}|      ÿ                   
{1031}{1036}|           ÿ              
{1036}{1045}|               ÿ          
{1045}{1053}|                   ÿ      
{1053}{1061}|                       ÿ  
{1066}{1072}|ÿ                         
{1072}{1077}|   ÿ                      
{1077}{1081}|         ÿ                
{1081}{1086}|              ÿ           
{1086}{1091}|                   ÿ      
{1091}{1094}|                      ÿ   
{1098}{1104}|ÿ                         
{1104}{1109}|   ÿ                      
{1109}{1114}|      ÿ                   
{1114}{1119}|           ÿ              
{1119}{1128}|               ÿ          
{1128}{1138}|                   ÿ      
{1138}{1147}|                       ÿ  
{1152}{1157}|ÿ                       
{1157}{1162}|      ÿ                 
{1162}{1167}|         ÿ              
{1167}{1171}|             ÿ          
{1177}{1186}|                    ÿ   
{1186}{1191}|ÿ                         
{1191}{1197}|   ÿ                      
{1197}{1198}|      ÿ                   
{1202}{1206}|           ÿ              
{1206}{1217}|               ÿ          
{1217}{1227}|                   ÿ      
{1227}{1249}|                       ÿ  
