{90}{271}Vas-y Thomas ! Tu gagneras !
{271}{364}Vas-y Thomas ! Tu y arriveras !
{364}{541}Vas-y Thomas ! Puisque tu as une passion dans le coeur !
{541}{637}Vas-y Thomas ! N'hésite pas !
{637}{743}S'il faut se battre, eh bien bats toi !
{743}{824}Un jour viendra où tu auras
{824}{914}Enfin droit au bonheur !
{914}{973}Le p'tit chef, le p'tit chef
{973}{1008}Un jour t'auras
{1008}{1066}Le grand chef, le grand chef
{1066}{1100}Tu deviendras
{1100}{1157}Le p'tit chef, le p'tit chef
{1157}{1203}Et ce jour là
{1203}{1248}Le grand chef, le grand chef
{1248}{1322}Ce sera toi !
{190}{193}|ÿ                           
{197}{203}|  ÿ                         
{203}{206}|      ÿ                     
{210}{227}|         ÿ                  
{237}{243}|               ÿ            
{243}{249}|                  ÿ         
{249}{252}|                    ÿ       
{256}{270}|                       ÿ    
{284}{289}|ÿ                              
{289}{296}|  ÿ                            
{296}{303}|      ÿ                        
{303}{316}|         ÿ                     
{328}{333}|               ÿ               
{333}{340}|                  ÿ            
{340}{344}|                     ÿ         
{348}{363}|                        ÿ      
{374}{380}|ÿ                                                       
{380}{384}|  ÿ                                                     
{388}{394}|      ÿ                                                 
{394}{409}|         ÿ                                              
{421}{427}|               ÿ                                        
{427}{433}|                   ÿ                                    
{433}{439}|                       ÿ                                
{439}{454}|                          ÿ                             
{465}{473}|                             ÿ                          
{479}{486}|                                 ÿ                      
{491}{498}|                                    ÿ                   
{498}{503}|                                         ÿ              
{503}{509}|                                              ÿ         
{509}{526}|                                                 ÿ      
{560}{562}|ÿ                            
{566}{568}|  ÿ                          
{572}{578}|      ÿ                      
{578}{594}|         ÿ                   
{607}{612}|               ÿ             
{612}{615}|                   ÿ         
{619}{621}|                     ÿ       
{625}{636}|                        ÿ    
{652}{655}|ÿ                                      
{660}{661}|     ÿ                                 
{665}{670}|          ÿ                            
{670}{685}|             ÿ                         
{698}{703}|                     ÿ                 
{703}{706}|                        ÿ              
{710}{712}|                             ÿ         
{716}{728}|                                  ÿ    
{745}{748}|ÿ                          
{752}{757}|   ÿ                       
{757}{763}|        ÿ                  
{763}{777}|            ÿ              
{791}{793}|                ÿ          
{797}{799}|                   ÿ       
{803}{805}|                      ÿ    
{809}{823}|                        ÿ  
{837}{845}|ÿ                       
{849}{856}|  ÿ                     
{861}{867}|      ÿ                 
{867}{873}|            ÿ           
{873}{875}|               ÿ        
{879}{899}|                  ÿ     
{928}{934}|ÿ                           
{934}{939}|   ÿ                        
{939}{947}|         ÿ                  
{952}{957}|               ÿ            
{957}{963}|                  ÿ         
{963}{972}|                        ÿ   
{976}{982}|ÿ              
{982}{987}|   ÿ           
{987}{989}|        ÿ      
{993}{1007}|            ÿ  
{1022}{1028}|ÿ                           
{1028}{1033}|   ÿ                        
{1033}{1041}|         ÿ                  
{1045}{1051}|               ÿ            
{1051}{1053}|                  ÿ         
{1057}{1065}|                        ÿ   
{1070}{1074}|ÿ            
{1074}{1079}|   ÿ         
{1079}{1085}|     ÿ       
{1085}{1099}|         ÿ   
{1115}{1119}|ÿ                           
{1119}{1125}|   ÿ                        
{1125}{1133}|         ÿ                  
{1138}{1143}|               ÿ            
{1143}{1145}|                  ÿ         
{1149}{1156}|                        ÿ   
{1161}{1166}|ÿ            
{1166}{1172}|   ÿ         
{1172}{1177}|      ÿ      
{1177}{1188}|           ÿ 
{1206}{1212}|ÿ                           
{1212}{1213}|   ÿ                        
{1217}{1223}|         ÿ                  
{1229}{1234}|               ÿ            
{1234}{1236}|                  ÿ         
{1240}{1247}|                        ÿ   
{1252}{1257}|ÿ            
{1257}{1259}|   ÿ         
{1263}{1265}|     ÿ       
{1269}{1292}|        ÿ    
